,costToReach,items
Gingerbread Sewers,1000,"[""The Gingerbread Vigilante's Handbook (0)""]"
Gingerbread Industrial Zone,1000,"['gingerbread mug (0)', 'gingerbread mask (0)', 'gingerservo (0)', 'tainted icing (0)', 'industrial frosting (n100)']"
Gingerbread Civic Center,1000,"['sour ball and chain (0)', 'candy dog collar (0)', 'candy dress shoes (0)', 'gingerbread restraining order (0)', 'gingerbread gavel (n100)']"
Galley,1000,['BURT (100)']
Fudge Mountain,1000,"['fudgecule (c100)', 'fudgecule (c100)', 'fudgecule (c100)', 'fudgecule (c100)', 'fudgecule (c100)', 'wand of fudge control (100)', 'heart of dark chocolate (0)']"
Fightin' Fire,1000,[]
Globe Theatre Main Stage,1000,"['heavy crown (0)', 'ear poison (0)', 'stink-penny (0)', 'hawk (0)', 'hamlet sandwich (0)', 'bowl of Jeal-O (0)']"
Hamburglaris Shield Generator,1000,"['elven magi-pack (25)', 'elven medi-pack (25)', 'lunar isotope (0)', 'lunar isotope (0)', 'lunar isotope (0)', 'elven magi-pack (25)', 'elven medi-pack (25)', 'lunar isotope (0)', 'lunar isotope (0)', 'lunar isotope (0)', 'lunar isotope (0)', 'elven magi-pack (25)', 'elven medi-pack (25)', 'lunar isotope (0)', 'lunar isotope (0)', 'lunar isotope (0)']"
Crimbo Town Toy Factory (2005),1000,"['felt (10)', 'wooden block (10)', 'googly eye (10)', 'length of string (10)', 'stuffing (10)', 'toy wheel (10)', 'felt (10)', 'wooden block (10)', 'googly eye (10)', 'length of string (10)', 'stuffing (10)', 'toy wheel (10)', 'felt (10)', 'wooden block (10)', 'stuffing (10)', 'length of string (10)', 'googly eye (10)', 'toy wheel (10)', 'felt (10)', 'wooden block (10)', 'googly eye (10)', 'length of string (10)', 'stuffing (10)', 'toy wheel (10)', 'length of string (10)', 'stuffing (10)', 'wooden block (10)', 'googly eye (10)', 'felt (10)', 'toy wheel (10)']"
CRIMBCO cubicles,1000,"['BGE merchandise order form (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'CRIMBCO scrip (n100)', 'BGE merchandise order form (n100)']"
A Yawning Abyssal Portal,1000,"['boiling seal blood (c30)', 'scabrous seal epaulets (c0)', 'abyssal battle plans (c0)']"
A Terrifying Abyssal Portal,1000,"['foetid seal tear (c30)', 'crystalline seal eye (c0)']"
A Stinking Abyssal Portal,1000,"['foetid seal tear (c30)', 'crystalline seal eye (c0)']"
A Skeleton Invasion!,1000,"['bone chips (30)', 'bone chips (30)', 'bone chips (20)', 'bone chips (30)', 'bone chips (20)', 'bone chips (10)', 'bone chips (30)', 'bone chips (20)', 'bone chips (10)', 'bone chips (0)', 'bone chips (30)', 'bone chips (20)', 'bone chips (10)', 'bone chips (0)', 'bone chips (0)', 'bone chips (30)', 'bone chips (20)', 'bone chips (30)', 'bone chips (20)', 'bone chips (10)', 'bone chips (30)', 'bone chips (20)', 'bone chips (10)', 'bone chips (0)', 'bone chips (30)', 'bone chips (20)', 'bone chips (10)', 'bone chips (0)', 'bone chips (0)']"
A Scorching Abyssal Portal,1000,"['foetid seal tear (c30)', 'crystalline seal eye (c0)']"
A Pile of Old Servers,1000,"['corrupted data (10)', 'squirming egg sac (5)']"
A Monorail Station,1000,"['contract enforcement stick (0)', 'mafia pinky ring (0)', 'flask of port (p0)', 'protection stick (0)', 'mafia thumb ring (0)', 'roll of meat (p0)', ""steel drivin' hammer (0)"", 'mafia middle finger ring (0)', 'little piece of steel (p0)', ""negotiatin' hammer (0)"", 'mafia pointer finger ring (0)', 'worksite credentials (p0)', 'mafia filofax (0)', 'mafia wedding ring (0)', 'mafia organizer badge (p0)', '&quot;Remember the Trees&quot; Shirt (0)', 'deadfall branch (0)']"
A Maze of Sewer Tunnels,1000,"['bottle of sewage schnapps (0)', 'C.H.U.M. lantern (0)', 'C.H.U.M. knife (0)', 'sewer nuggets (0)', 'C.H.U.M. chum (p40)', 'C.H.U.M. knife (0)', 'bottle of sewage schnapps (0)', 'bottle of sewage schnapps (0)', 'sewer nuggets (0)', 'sewer nuggets (0)', 'C.H.U.M. chum (p40)', 'decaying goldfish liver (0)', 'sewer nuggets (0)', 'sewer nuggets (0)', 'gator skin (0)', 'sewer nuggets (0)', 'sewer nuggets (0)', 'C.H.U.M. knife (0)', 'bottle of sewage schnapps (0)', 'bottle of sewage schnapps (0)', 'sewer nuggets (0)', 'sewer nuggets (0)', 'C.H.U.M. chum (p40)']"
An Eldritch Fissure,1000,"['eldritch effluvium (0)', 'eldritch effluvium (0)', 'eldritch effluvium (0)']"
A Kitchen Drawer,1000,"[""Artist's Butterknife of Regret (0)"", ""Artist's Cookie Cutter of Loneliness (0)"", ""Artist's Cr&egrave;me Brul&eacute;e Torch of Fury (0)"", ""Artist's Spatula of Despair (0)"", ""Artist's Whisk of Misery (0)""]"
A Freezing Abyssal Portal,1000,"['cold seal sweat (c30)', 'studded sealhide shield (c0)', 'abyssal battle plans (c0)']"
A Deserted Stretch of I-911,1000,"[""fireman's lunch (0)"", 'fire hose (0)', 'ice cream sandwich (0)', 'plain paper hat (0)', 'nachos of the night (0)', 'skull gearshift knob (0)', ""plumber's lunch (0)"", '&quot;honey&quot; dipper (0)', 'can of Adultwitch&trade; (0)', 'Sketcherz&trade; (0)']"
A Crowd of (Stat) Adventurers,1000,[]
A Crowd of (Element) Adventurers,1000,[]
A Crater Full of Space Beasts,1000,"['space beast fur (100)', 'twitching space egg (n100)', 'twitching space egg (n100)']"
"3rd Floor, Shiawase-Mitsuhama Building",1000,"['pencil kunai (0)', 'pencil kunai (0)', 'weighted paperclip chain (0)', 'cheap clip-on ninja tie (c0)', 'great big capacitor (0)', 'butterfly knife (0)', 'tube of herbal ointment (0)']"
"2nd Floor, Shiawase-Mitsuhama Building",1000,"['pencil kunai (0)', 'pencil kunai (0)', 'weighted paperclip chain (0)', 'cheap clip-on ninja tie (c0)', 'great big capacitor (0)', 'butterfly knife (0)', 'tube of herbal ointment (0)']"
"1st Floor, Shiawase-Mitsuhama Building",1000,"['pencil kunai (0)', 'pencil kunai (0)', 'weighted paperclip chain (0)', 'cheap clip-on ninja tie (c0)', 'great big capacitor (0)', 'butterfly knife (0)', 'tube of herbal ointment (0)']"
A Grocery Bag,1000,['the kindest cold cut (c0)']
CRIMBCO WC,1000,"['bindlestocking (0)', 'bottle of rum (15)', 'bottle of tequila (15)', 'bottle of whiskey (15)', 'candy cane (15)', 'Crimbo candied pecan (15)', 'Crimbo fudge (15)', 'Crimbo peppermint bark (15)', 'eggnog (15)', 'Mad Train wine (15)', 'sleeping stocking (0)', 'Tales of a Kansas Toymaker (0)', 'The Joy of Wassailing (0)', 'white lightning (15)', 'Wint-O-Fresh mint (15)']"
An Illicit Bohemian Party,1000,"['jive turkey leg (20)', 'hep waders (2)', 'baloney rotgut (c0)', 'candy cigarette (20)', 'birdbone corset (2)', 'carton of gaspers (c0)', 'legitimate business on the beach (20)', 'law-abiding citizen cane (2)']"
An Incredibly Strange Place (Great Trip),1000,"['green-frosted astral cupcake (15)', 'orange-frosted astral cupcake (15)', 'pink-frosted astral cupcake (15)', 'blue-frosted astral cupcake (15)', 'purple-frosted astral cupcake (15)']"
Convention Hall Lobby,1000,"['vial of blue slime (f66)', 'vial of yellow slime (f66)', 'vial of red slime (f66)']"
Coldest Adventurer Contest,1000,"['coal contact lenses (c0)', 'conjured ice cream (c0)', 'Iceberglar scarf (c0)', 'icy hairspray (c0)']"
Chinatown Tenement,1000,"['gold piece (0)', 'gold piece (0)', 'gold piece (0)', 'gold piece (0)', 'gamer slurry (c0)', 'butterfly knife (0)', 'tube of herbal ointment (0)', 'suspicious-looking fedora (100)']"
Chinatown Shops,1000,"['dead meat bun (0)', 'lucky cat collar (0)', ""lucky cat's paw (c0)"", 'roasted duck (0)', 'butterfly knife (0)', 'tube of herbal ointment (0)', 'zaibatsu lobby card (100)']"
Chemistry Class,1000,"['ph balancer (25)', 'ph balancer (10)', 'nugget of sodium (25)', 'nugget of sodium (10)', 'mysterious chemical residue (25)', 'mysterious chemical residue (10)', 'chlorine crystal (25)', 'chlorine crystal (10)', 'chlorine crystal (100)', 'ph balancer (100)', 'mysterious chemical residue (100)', 'nugget of sodium (100)']"
Center Park After Dark,1000,[]
Burnbarrel Blvd.,1000,"['bed of coals (0)', 'hobo nickel (c15)', ""flamin' bindle (0)"", 'Tales from the Fireside (0)', ""Kissin' Cousins (0)"", ""Elron's Explosive Etude (0)"", ""Ol' Scratch's salad fork (0)"", ""Ol' Scratch's ash can (0)"", ""Ol' Scratch's ol' britches (0)"", ""Ol' Scratch's stovepipe hat (0)"", ""Ol' Scratch's infernal pitchfork (f20)"", ""Ol' Scratch's manacles (f20)"", ""Ol' Scratch's stove door (f20)""]"
Battlefield (No Uniform),1000,['Counterclockwise Watch (100)']
An Incredibly Strange Place (Bad Trip),1000,"['orange-frosted astral cupcake (15)', 'green-frosted astral cupcake (15)', 'pink-frosted astral cupcake (15)', 'blue-frosted astral cupcake (15)', 'purple-frosted astral cupcake (15)']"
Battlefield (Dyspepsi Uniform),1000,"['Cloaca-Cola (15)', 'Cloaca-Cola (15)', 'Cloaca-Cola c-rations (5)', 'Cloaca grenade (5)', 'Cloaca-Cola (15)', 'Cloaca-Cola (15)', 'Cloaca grenade (5)', 'Cloaca-Cola (15)', 'Cloaca-Cola (15)', 'Cloaca grenade (5)', 'lucky lighter (p5)', 'Counterclockwise Watch (100)']"
Barf Mountain,1000,"['cheap sunglasses (5)', 'expensive camera (15)', 'How to Avoid Scams (20)', 'garbage juice slurpee (c10)', 'bag of park garbage (15)', 'bag of park garbage (15)', 'bag of park garbage (15)', 'expensive camera (15)', 'filthy child leash (5)', 'bag of gross foreign snacks (20)']"
Atomic Crimbo Toy Factory,1000,"['elven moonshine (0)', 'miniature antlers (0)', 'festive holiday hat (0)', 'cheap elven gloves (0)', 'elven socks (0)', 'elven <i>limbos</i> gingerbread (0)', 'elven whittling knife (0)']"
Art Class,1000,"['angry inch (25)', 'angry inch (10)', 'lump of clay (25)', 'lump of clay (10)', 'eraser nubbin (25)', 'eraser nubbin (10)', 'twisted piece of wire (25)', 'twisted piece of wire (10)', 'lump of clay (100)', 'angry inch (100)', 'eraser nubbin (100)', 'twisted piece of wire (100)', 'tomato soup poster (c0)']"
Anger Man's Level,1000,"['blue pixel (0)', 'blue pixel (0)', 'white pixel (0)', 'pixel power cell (0)', 'red pixel (0)', 'red pixel (0)', 'white pixel (0)', 'pixel power cell (0)', 'black pixel (0)', 'black pixel (0)', 'white pixel (0)', 'pixel power cell (0)', 'anger blaster (100)']"
Anemone Mine,1000,"['anemone nematocyst (n25)', 'high-pressure seltzer bottle (n25)', 'midget clownfish (c1)', 'rough fish scale (n5)', 'Mer-kin foodbucket (n5)', 'Mer-kin digpick (n10)', 'Mer-kin thingpouch (n25)']"
An Unsettling Abyssal Portal,1000,"['cold seal sweat (c30)', 'studded sealhide shield (c0)', 'abyssal battle plans (c0)']"
An Octopus's Garden,1000,"['flytrap pellet (n30)', 'water-polo cap (c0)', 'wriggling flytrap pellet (c0)', ""octopus's spade (n2)"", 'sea radish (c3)', 'soggy seed packet (n30)', 'straw hat (n2)', 'sand dollar (n10)', 'sand dollar (n9)', 'sand dollar (n1)', 'slab of sponge (n5)', 'glob of green slime (n30)', 'sea lace (n30)', 'giant pearl (n100)']"
An Incredibly Strange Place (Mediocre Trip),1000,"['pink-frosted astral cupcake (15)', 'green-frosted astral cupcake (15)', 'purple-frosted astral cupcake (15)', 'blue-frosted astral cupcake (15)', 'gazely stare (c0)', 'orange-frosted astral cupcake (15)']"
Battlefield (Cloaca Uniform),1000,"['Dyspepsi-Cola (15)', 'Dyspepsi-Cola (15)', 'Dyspepsi-Cola d-rations (5)', 'Dyspepsi grenade (5)', 'Dyspepsi-Cola (15)', 'Dyspepsi-Cola (15)', 'Dyspepsi grenade (5)', 'Dyspepsi-Cola (15)', 'Dyspepsi-Cola (15)', 'Dyspepsi grenade (5)', 'lucky lighter (p5)', 'Counterclockwise Watch (100)']"
The Ice Hotel,1000,"['perfect ice cube (30)', 'ice hotel bell (0)', 'exotic travel brochure (0)', 'bag of foreign bribes (0)', 'frozen shampoo-conditioner (0)', 'hotel minibar key (0)', 'ice porter (0)', ""bellhop's hat (0)""]"
Hell,1000,"['devil-summoning hat (c0)', 'vampire heart (c100)', 'vampire collar (c4)', 'bat wing (15)', 'batgut (15)', 'sonar-in-a-biscuit (10)', 'vampire chowder (100)', 'vampire pearl (p35)', 'frightful feather (10)', 'duct tape (5)', 'vampire glitter (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'remorseless knife (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'vial of hot blood (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'blood sausage (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'intimidating coiffure (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'cod cape (c0)', 'child-sized dracula cloak (c0)', 'evil googly eye (10)', 'spooky felt (10)', 'spooky length of string (10)', 'spooky stuffing (10)', 'spooky toy wheel (10)', 'spooky wooden block (10)', 'Haunted Sorority House staff guide (0)', 'bite-me-red lipstick (0)', 'Blood Light (0)', 'Nightstalker perfume (0)', 'Mesmereyes&trade; contact lenses (0)']"
Hottest Adventurer Contest,1000,"['handful of fire (c0)', ""Cracklin' Oat Bran (c0)"", 'disposable lighter (c0)']"
The Cheerless Spire (Level 1),1000,"['crystalline cheer (n100)', 'crystalline cheer (n100)', 'crystalline cheer (n100)']"
The Cave Before Time,1000,"['D roll (20)', 'droll monocle (2)', 'Friendliness Beverage (20)', 'silent pea shooter (2)', 'New Zealand iced tea (20)', 'kiwi beak (2)', 'kiwi (5)', 'kiwi (5)', 'Chroner (100)', 'Chroner (100)', 'Chroner (f50)']"
The Cannon Museum,1000,['bag of bones (0)']
The Canadian Wildlife Preserve,1000,"['thick walrus blubber (10)', 'pristine walrus tusk (c0)', 'tiny bomb (10)', 'plastic bazooka (c0)', 'mooseflank (10)', 'balanced antler (c0)', 'beavermouth (10)', 'portable dam (c0)']"
The Caliginous Abyss,1000,"['black tear (n50)', 'peanut sauce (0)', 'rough fish scale (n20)', 'rough fish scale (n10)', 'dull fish scale (n40)', 'dull fish scale (n20)', 'jagged tooth (n15)', 'jagged tooth (n5)', 'grisly shell fragment (0)', 'grisly shell fragment (0)']"
The Bugbear Pen,1000,"['gnoll teeth (30)', 'gnoll lips (30)', 'software glitch (p25)', 'annoying pitchfork (100)']"
The Bubblin' Caldera,1000,"['basaltamander tongue (0)', 'basaltamander buckler (c0)', 'smelted roe (15)', 'lavalarva (c0)', 'lavawater (0)', 'lava balaclava (c0)', 'Lavalos core (n100)', ""Lavalos's shell (n100)""]"
The Broodling Grounds,1000,"['hellseal whisker (0)', 'hellseal claw (0)', 'burst hellseal brain (c0)', 'shredded hellseal hide (c0)', 'torn hellseal sinew (c0)', 'hellseal brain (c0)', 'hellseal hide (c0)', 'hellseal sinew (c0)', 'hellseal whisker (c0)', 'hellseal claw (c0)']"
The Cheerless Spire (Level 2),1000,"['crystalline cheer (n100)', 'crystalline cheer (n100)', 'crystalline cheer (n100)', 'crystalline cheer (n100)']"
The Briny Deeps,1000,"['dull fish scale (n15)', 'slick fish meat (n5)', 'dull fish scale (n15)', 'beefy fish meat (n5)', 'dull fish scale (n15)', 'fishy wand (c0)', 'glistening fish meat (n5)', 'folder (Seawolf) (c0)']"
The Brinier Deepers,1000,"['bazookafish bubble gum (42)', 'bazookafish bubble gum (8)', 'dull fish scale (n15)', 'fish bazooka (n2)', 'dull fish scale (n15)', 'fish stick (n2)', 'dull fish scale (n15)', 'fish scimitar (n2)']"
The Beehive,1000,"['beefy pill (0)', 'baby killer bee (5)', 'royal jelly (25)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'handful of honey (0)', 'bucket of honey (20)', 'elephant stinger (0)', 'reflection of a map (c10)', 'vibrating cyborg knife (0)']"
The Battlefield (Hippy Uniform),1000,"['beer bong (20)', 'beer helmet (1)', 'bejeweled pledge pin (1)', 'distressed denim pants (1)', 'kick-ass kicks (2)', 'PADL Phone (2)', 'beer bong (30)', 'beer helmet (1)', 'bejeweled pledge pin (1)', 'distressed denim pants (1)', 'kick-ass kicks (4)', 'PADL Phone (3)', 'energy drink IV (27)', 'gauze garter (25)', 'gauze garter (20)', 'kick-ass kicks (2)', 'PADL Phone (3)', 'energy drink IV (18)', 'gauze garter (20)', 'gauze garter (7)', 'kick-ass kicks (2)', 'PADL Phone (3)', 'scrunchie tourniquet (c0)', 'beer helmet (1)', 'bejeweled pledge pin (1)', 'distressed denim pants (1)', 'kick-ass kicks (2)', 'PADL Phone (18)', 'PADL Phone (18)', 'PADL Phone (18)', 'white class ring (31)', 'beer bomb (5)', 'beer helmet (10)', 'bejeweled pledge pin (10)', 'bottle opener belt buckle (10)', 'distressed denim pants (10)', 'giant foam finger (10)', 'keg shield (6)', 'beer bomb (5)', 'beer helmet (10)', 'bejeweled pledge pin (10)', 'bottle opener belt buckle (10)', 'flask flops (5)', 'distressed denim pants (10)', 'keg shield (5)', 'perforated battle paddle (10)', 'beer bomb (5)', 'beer helmet (10)', 'bejeweled pledge pin (10)', 'bottle opener belt buckle (10)', 'distressed denim pants (9)', 'keg shield (5)', 'perforated battle paddle (9)', 'beer bomb (14)', 'beer bomb (7)', 'beer helmet (1)', 'bejeweled pledge pin (1)', 'distressed denim pants (1)', 'kick-ass kicks (3)', 'molotov cocktail cocktail (0)', 'PADL Phone (2)', 'red class ring (30)', 'sake bomb (22)', 'sake bomb (22)', 'tequila grenade (0)', 'Frat Army FGF (5)', 'kick-ass kicks (10)', 'Monstar energy beverage (20)', 'PADL Phone (3)', 'war tongs (17)', 'beer bong (5)', 'beer helmet (1)', 'bejeweled pledge pin (1)', 'distressed denim pants (1)', 'furniture dolly (15)', 'PADL Phone (5)', 'beer bong (30)', 'beer helmet (1)', 'bejeweled pledge pin (1)', 'distressed denim pants (1)', 'kick-ass kicks (4)', 'PADL Phone (3)', 'energy drink IV (27)', 'gauze garter (25)', 'gauze garter (20)', 'kick-ass kicks (2)', 'PADL Phone (3)', 'meat engine (5)', 'PADL Phone (5)', 'sake bomb (10)', 'sake bomb (5)', 'chloroform rag (12)', 'chloroform rag (7)', 'depantsing bomb (18)', 'depantsing bomb (3)', 'Elmley shades (6)', 'PADL Phone (3)', 'panty raider camouflage (10)', 'white class ring (30)', 'beer bomb (9)', 'beer helmet (5)', 'bejeweled pledge pin (5)', 'distressed denim pants (4)', 'giant foam finger (14)', 'keg shield (5)', 'PADL Phone (3)', 'red class ring (29)', 'beer bomb (9)', 'beer helmet (5)', 'bejeweled pledge pin (4)', 'distressed denim pants (5)', 'keg shield (5)', 'PADL Phone (2)', 'perforated battle paddle (15)', 'red class ring (31)', 'flask flops (0)', 'beer bomb (10)', 'beer helmet (4)', 'bejeweled pledge pin (4)', 'distressed denim pants (6)', 'keg shield (5)', 'PADL Phone (2)', 'perforated battle paddle (14)', 'red class ring (31)', 'beer bomb (20)', 'beer bomb (10)', 'beer helmet (1)', 'bejeweled pledge pin (1)', 'distressed denim pants (1)', 'blue class ring (31)', 'kick-ass kicks (2)', 'molotov cocktail cocktail (0)', 'PADL Phone (3)', 'sake bomb (25)', 'sake bomb (13)', 'tequila grenade (0)', 'beer helmet (2)', 'bejeweled pledge pin (1)', 'distressed denim pants (2)', 'Frat Army FGF (5)', 'PADL Phone (11)', 'sausage bomb (41)', 'shiny hood ornament (25)', 'white class ring (31)', 'asbestos apron (c0)', 'Frat Army FGF (20)', 'kick-ass kicks (15)', 'Monstar energy beverage (31)', 'PADL Phone (4)', 'war tongs (19)', 'white class ring (0)', 'tube sock (100)', 'distressed denim pants (0)', 'beer helmet (0)', 'kick-ass kicks (0)', 'kick-ass kicks (0)', 'wreath of laurels (100)', 'white class ring (0)', ""Danglin' Chad's loincloth (100)"", 'beer helmet (0)', 'bejeweled pledge pin (0)', 'distressed denim pants (0)', 'kick-ass kicks (0)', 'white class ring (0)', 'white class ring (0)', 'natty blue ascot (100)', 'distressed denim pants (0)', 'bejeweled pledge pin (0)', 'kick-ass kicks (0)', 'beaten-up Chucks (100)', 'white class ring (100)', 'kick-ass kicks (0)', 'beer helmet (0)', 'distressed denim pants (0)', 'really dense meat stack (100)']"
The Ancient Hobo Burial Ground,1000,"['hobo nickel (c15)', 'spooky bindle (0)', 'Asleep in the Cemetery (0)', 'Let Me Be! (0)', 'comfy coffin (0)', 'Prelude of Precision (0)', 'voodoo snuff (0)', ""Zombo's grievous greaves (0)"", ""Zombo's shield (0)"", ""Zombo's skullcap (0)"", ""Zombo's empty eye (f20)"", ""Zombo's shoulder blade (f20)"", ""Zombo's skull ring (f20)""]"
